,eidx,aidx,type,is_flipped,num_supports,num_sufficient
397,43,42,non-leaf,False,0,0
398,43,72,leaf,False,0,0
399,43,86,leaf,False,0,0
400,43,88,leaf,False,0,0
401,43,98,non-leaf,True,1,1
402,43,99,non-leaf,False,1,0
403,44,0,default,False,2,0
404,44,1,leaf,False,0,0
405,44,27,non-leaf,True,1,1
406,44,43,leaf,False,0,0
407,44,75,leaf,False,0,0
408,44,76,leaf,False,0,0
409,44,86,leaf,False,0,0
410,44,90,leaf,False,0,0
411,45,0,default,False,0,0
412,46,0,default,False,1,0
413,46,72,leaf,False,0,0
414,46,88,leaf,False,0,0
415,46,99,non-leaf,False,1,0
416,47,0,default,False,1,0
417,47,43,leaf,False,0,0
418,47,72,leaf,False,0,0
419,47,75,leaf,False,0,0
420,47,88,leaf,False,0,0
421,48,0,default,False,1,0
422,48,72,leaf,False,0,0
423,48,75,leaf,False,0,0
424,48,86,leaf,False,0,0
425,48,99,non-leaf,False,1,0
426,49,0,default,False,0,0
427,49,1,leaf,False,0,0
428,49,6,non-leaf,False,2,0
429,49,11,non-leaf,False,0,0
430,49,12,non-leaf,False,2,0
431,49,72,leaf,False,0,0
432,49,74,non-leaf,True,1,1
433,49,75,leaf,False,0,0
434,49,76,leaf,False,0,0
435,49,77,non-leaf,False,0,0
436,49,99,non-leaf,False,1,0
437,50,0,default,False,0,0
438,50,16,leaf,False,0,0
439,50,38,non-leaf,True,1,1
440,50,72,leaf,False,0,0
441,50,75,leaf,False,0,0
442,50,99,non-leaf,False,1,0
443,51,0,default,False,0,0
444,51,16,leaf,False,0,0
445,51,42,non-leaf,False,0,0
446,51,72,leaf,False,0,0
447,51,75,leaf,False,0,0
448,51,88,leaf,False,0,0
449,51,99,non-leaf,False,1,0
450,52,0,default,False,0,0
451,53,0,default,False,1,0
452,53,16,leaf,False,0,0
453,53,72,leaf,False,0,0
454,53,75,leaf,False,0,0
455,53,86,leaf,False,0,0
456,53,94,non-leaf,False,2,0
457,54,0,default,False,4,0
458,54,8,non-leaf,True,1,1
459,54,10,leaf,False,0,0
460,54,16,leaf,False,0,0
461,54,17,non-leaf,False,0,0
462,54,32,non-leaf,False,0,0
463,54,51,non-leaf,False,1,0
464,54,72,leaf,False,0,0
465,54,86,leaf,False,0,0
466,54,88,leaf,False,0,0
467,54,93,non-leaf,True,2,1
468,54,99,non-leaf,False,1,0
469,55,0,default,False,0,0
470,55,72,leaf,False,0,0
471,55,99,non-leaf,False,1,0
472,56,0,default,False,1,0
473,56,75,leaf,False,0,0
474,56,86,leaf,False,0,0
475,56,98,non-leaf,True,1,1
476,57,0,default,False,1,0
477,57,75,leaf,False,0,0
478,57,86,leaf,False,0,0
479,58,0,default,False,0,0
480,59,0,default,False,2,0
481,59,1,leaf,False,0,0
482,59,7,non-leaf,True,2,1
483,59,10,leaf,False,0,0
484,59,11,non-leaf,False,0,0
485,59,17,non-leaf,False,0,0
486,59,20,non-leaf,False,1,0
487,59,35,non-leaf,False,2,0
488,59,43,leaf,False,0,0
489,59,51,non-leaf,False,1,0
490,59,72,leaf,False,0,0
491,59,75,leaf,False,0,0
492,59,86,leaf,False,0,0
493,59,98,non-leaf,True,1,1
494,59,99,non-leaf,False,1,0
495,60,0,default,False,1,0
496,60,72,leaf,False,0,0
497,60,75,leaf,False,0,0
498,60,76,leaf,False,0,0
499,60,99,non-leaf,False,1,0
500,61,0,default,False,2,0
501,61,8,non-leaf,True,1,1
502,61,10,leaf,False,0,0
503,61,17,non-leaf,False,0,0
504,61,47,non-leaf,False,2,0
505,61,75,leaf,False,0,0
506,61,86,leaf,False,0,0
507,62,0,default,False,1,0
508,62,72,leaf,False,0,0
509,62,75,leaf,False,0,0
510,62,88,leaf,False,0,0
511,62,99,non-leaf,False,1,0
512,63,0,default,False,1,0
513,63,1,leaf,False,0,0
514,63,8,non-leaf,True,1,1
515,63,10,leaf,False,0,0
516,63,17,non-leaf,False,0,0
517,63,19,non-leaf,False,2,0
518,63,27,non-leaf,True,1,1
519,63,47,non-leaf,False,2,0
520,63,72,leaf,False,0,0
521,63,75,leaf,False,0,0
522,64,0,default,False,0,0
523,65,0,default,False,1,0
524,65,41,leaf,False,0,0
525,65,43,leaf,False,0,0
526,65,72,leaf,False,0,0
527,65,75,leaf,False,0,0
528,65,86,leaf,False,0,0
529,65,99,non-leaf,False,1,0
530,66,0,default,False,1,0
531,66,72,leaf,False,0,0
532,66,75,leaf,False,0,0
533,66,88,leaf,False,0,0
534,67,0,default,False,0,0
535,67,72,leaf,False,0,0
536,68,0,default,False,1,0
537,68,16,leaf,False,0,0
538,68,71,leaf,False,0,0
539,68,72,leaf,False,0,0
540,68,75,leaf,False,0,0
